import_row_id,display_name,wikidata_id,fname,lname
event_90010,Rosa von Praunheim,Q62942,Rosa,Von Praunheim
event_90011,Rosa von Praunheim,Q62942,,
event_90012,Rosa von Praunheim,Q62942,,
event_90013,Rosa von Praunheim,Q62942,,
event_90014,Rosa von Praunheim,Q62942,,
event_90015,Rosa von Praunheim,Q62942,,
event_90016,Rosa von Praunheim,Q62942,,
event_90017,Rosa von Praunheim,Q62942,,
event_90018,Conrad Rooks,Q5162592,Conrad,Rooks
event_90019,Isa Hesse-Rabinovich,,Isa,Hesse-Rabinovich
event_90027,Jacques Demy,Q312258,Jacques,Demy
event_90028,Victor Sjöström,Q55170,Victor,Sjostrom
event_90029,Mauritz Stiller,Q445917,Mauritz,Stiller
event_90030,Robert Bresson,Q55391,Robert,Bresson
event_90031,Yuri Raizman,,Yuri,Raizman
event_90032,Pat O’Neill,Q7143873,,
event_90033,Pat O’Neill,Q7143873,,
event_90034,Pat O’Neill,Q7143873,,
event_90043,Vera Stroyeva,Q461570,,
event_90051,Mauritz Stiller,Q445917,,
event_90052,Alf Söberg,Q374792,,
event_90053,Robert Bresson,Q55391,Robert,Bresson
event_90054,Iosif Kheifits,Q741710,,
event_90055,Peter Kubelka,Q86966,,
event_90056,Peter Kubelka,Q86966,,
event_90057,Peter Kubelka,Q86966,,
event_90058,Peter Kubelka,Q86966,,
event_90059,Peter Kubelka,Q86966,,
event_90060,Peter Kubelka,Q86966,,
event_90061,Mikhail Chiaurelli,Q969083,,
event_90062,Victor Sjöström,Q55170,Victor,Sjostrom
event_90063,Ingmar Bergman,,Ingmar,Bergman
event_90064,Jean-Luc Godard,,Jean-Luc,Godard
event_90065,Jean-Luc Godard,,,
event_90066,Siko Dolidze,,Siko,Dolidze
event_90067,Toshio Matsumoto,,Toshio,Matsumoto
event_90069,George Kuchar,,,
event_90072,Barbara Kopple,,Barbara,Kopple
event_90073,Georgi Shengelaya,,,
event_90074,Georgi Shengelaya,,Georgi,Shengelaya
event_90075,George Cukor,,George,Cukor
event_90076,Alfred Hitchcock,,Alfred,Hitchcock
event_90077,Nikolai Shengelaya,,,
event_90078,Rezo Chkheidze,,,
event_90079,Francois Truffant,,Francois,Truffant
event_90080,Arthur Penn,,Arthur,Penn
event_90081,Rezo Chkheidze,,Rezo,Chkheidze
event_90082,Jon Rubin,,,
event_90083,Jon Rubin,,,
event_90084,Jon Rubin,,,
event_90085,Jon Rubin,,,
event_90086,Jon Rubin,,,
event_90087,John Frankenheimer,,,
event_90088,John Frankenheimer,,John,Frankenheimer
event_90089,Nagisa Oshima,,,
event_90090,Nagisa Oshima,,,
event_90091,Jean Delannoy,,Jean,Delannoy
event_90092,Fernand Rivers,,Fernand,Rivers
event_90093,Mikhail Romm,Q461726,Mikhail,Romm
event_90094,Otar Iosseliani,Q321365,,
event_90095,Antoine Valma,,Antoine,Valma
event_90096,George Griffin,,George,Griffin
event_90097, Henri-Georges Clouzot,,,
event_90098, Henri-Georges Clouzot,,,
event_90099,John Ford,,John,Ford
event_90100,John Ford,,John,Ford
event_90101,Federico Fellini,,Federico,Fellini
event_90102,Nana Mchedlidze,Q4309189,Nana,Mchedlidze
event_90103,Roberto Rossellini,,Roberto,Rossellini
event_90104,Jorge Bodanzky,Q10308068,Jorge,Bodanzky
event_90105,Jorge Bodanzky,,,
event_90106,Robert Nelson,,Robert,Nelson
event_90107,Robert Nelson,,,
event_90108,Lana Gogoberdize,,,
event_90109,Douglas Sirk,,Douglas,Sirk
event_90110,Vicente Minnelli,,Vicente,Minnelli
event_90111,René Allio,Q1563300,René,Allio
