import_row_id,title,wikidata_id,alt_title,country,year
event_90001,Mysterious Discovery,Q4449759,,,1956
event_90002,Rosa Von Praunheim,,,,1968
event_90003,Pink Workers in Golden Street,,,,1969
event_90004,Sisters of the Revolution,,,,1969
event_90005,Macbeth,,,,1970
event_90006,A Gentle Woman,Q786222,,,1969
event_90007,The Land,,,,1954
event_90008,Johan,Q10540335,,,1921
event_90009,Juha,Q11867342,,,1937
event_90010,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",Q457675,,,1971
event_90011,"Introduction Film for “It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives”",,,,1971
event_90012,Underground and Emigrants,Q21004535,,,1976
event_90013,Passions,,Leidenschaften,,1971
event_90014,I Am An Anti-Star: The Scandalous Life Story of Evelyn Kunneke,,,,1976
event_90015,Axel Von Auersberg,,,,1974
event_90016,Monolog of a Star,,,,1974
event_90017,Rosa Von Praunheim Zeigt,,,,1974
event_90018,Siddhartha,Q505260,,,1972
event_90019,About A Tapestry,,,,1973
event_90020,American Sculpture of the Sixties,,,,1967–68
event_90021,Works of Calder,,,,1950
event_90022,Isamu Noguchi,,,,1972
event_90023,First Position,,,,1972
event_90024,Derby,,,,1971
event_90025,National Velvet,Q284686,,,1945
event_90026,The Young Girls of Rochefort,Q1214975,,,1967
event_90027,Peau d'Âne,Q1367513,Peau D’Ane,,1970
event_90028,Vem dömer,Q10713889,Vem Domer,,1921
event_90029,The Blizzard,Q7718617,,,1922
event_90030,Four Nights of a Dreamer,Q2658283,,,1971
event_90031,Mashenka,Q4286107,,,1942
event_90032,Sidewinder’s Delta,,,,1976
event_90033,Saugus Series,,,,1974
event_90034,Downwind,Q3296745,,,1973
event_90035,Four Nights of a Dreamer,Q2658283,,,1971
event_90036,Häxan,Q1438966,Witchcraft Through the Ages,,1922
event_90037,He Who Gets Slapped,Q2046050,,,1924
event_90038,Black Sister's Revenge,Q4921852,,,1976
event_90039,Bim,Q4913661,,,1974
event_90040,Hell Ship,,Eld Ombord,,1922
event_90041,The Long Night,,,,1975
event_90042,An Evening with Charles Benton of Films Inc,,,,
event_90043,Generation of Victors,Q108759239,,,1936
event_90044,Steppenwolf,Q842443,,,1974
event_90045,The Scarlet Letter,Q384408,,,1926
event_90046,The True Nature of Bernadette,Q3213945,,,1972
event_90047,Voyages en Grande Tartarie,,,,1974
event_90048,The Yearling,Q1217612,,,1946
event_90049,Cover Girl,Q1366560,,,1944
event_90050,You'll Never Get Rich,Q1707931,,,1941
event_90051,Hotel Imperial,Q3141123,,,1927
event_90052,Miss Julie,Q1471325,,,1950
event_90053,Lancelot of the Lake,Q2723413,,,1974
event_90054,My Beloved,Q4166827,,,1958
event_90055,Pause! ‘76,,,,1966–76
event_90056,Unsere Afrikaeise,,,,1961–66
event_90057,Arnulf Rainer,Q21999896,,,1956–60
event_90058,Schwechater,Q60737559,,,1957–58
event_90059,Adebar,Q112118843,,,1956–57
event_90060,Mosaik Im Vertrauen,,,,1954–55
event_90061,Saba,Q12149913,,,1929
event_90062,The Wind,Q2426434,,,1928
event_90063,Summer Interlude,Q425669,,,1950
event_90064,Weekend,Q1812267,,,1968
event_90065,Number Two,Q3815597,Numero Deux (tentative),,
event_90066,The Last Crusaders,,,,1934
event_90067,Funeral Parade of Roses,Q5509114,,,1969
event_90068,Death Quest of the Ju Ju Cult,,,,1976
event_90069,"I, An Actress",Q2615886,,,1976
event_90070,Tales of the Bronx,,,,1968
event_90071,Cycles,,,,1967
event_90072,"Harlan Country, U.S.A.",,,,1976
event_90073,Pirosmani,Q3389184,,,1971
event_90074,Melodies of Vera Quarter,Q3650585,,,1973
event_90075,Gaslight,Q841781,,,1944
event_90076,Notorious,Q587419,,,1946
event_90077,Eliso,Q12864130,,,1928
event_90078,Our Courtyard,,,,1956
event_90079,The 400 Blows,Q162331,,,1959
event_90080,The Miracle Worker,Q287536,,,1962
event_90081,Father of a Soldier,Q502080,,,1964
event_90082,Lozenge Lickings,,,,1974
event_90083,The Catalog,,,,1973–75
event_90084,Soup Clerk,,,,1972
event_90085,No Heroes,,,,1972
event_90086,Calves’ Ears,,,,1975
event_90087,The Manchurian Candidate,Q3589,,,1962
event_90088,Seconds,Q1195447,,,1966
event_90089,"I Was Born, But...",Q2461978,,,1932
event_90090,Boy,Q283172,,,1969
event_90091,The Die Is Cast,,Les jeux sont faits,,1947
event_90092,Dirty Hands,,Les mains sales,,1952
event_90093,Attack from the Sea,Q4232603,,,1953
event_90094,When the Leaves Fall,,Listopad,,1967
event_90095,Freud Explains His Position Concerning the Cinema,,,,1976
event_90096,Viewmaster,,Not complete! Has 9 more shorts,,1976
event_90097,Quai des Orfèvres,Q1056903,Quai Des Orfevres,,1947
event_90098,Manon,Q937385,,,1949
event_90099,Wee Willie Winkie,Q1631795,,,1937
event_90100,How Green Was My Valley,Q244448,,,1941
event_90101,Nights of Cabiria,Q18405,,,1957
event_90102,First Swallow,Q4348936,,,1975
event_90103,Shoeshine,Q586310,,,1952
event_90104,Iracema: Uma Transa Amazônica,Q10303531,,,1976
event_90105,Gitirana,,tentative,,
event_90106,"Suite California, Stops and Passes, A Travelog, Part I",,,,1977
event_90107,Deep Western,,,,1974
event_90108,Scandal in Salkhineti,,,,1974
event_90109,Weekend With Father,Q7979449,,,1951
event_90110,The Courtship of Eddie's Father,Q530679,,,1963
event_90111,The Shameless Old Lady,Q3213738,,,1966
event_90112,The Brain,,,,
event_90113,Tropicana Night Club,,,,
event_90114,End of the World,,,,
event_90115,Dole Man,,,,
event_90116,The Brothers Who Gets Revenge,,,,
