import_row_id,screening_title,description,legacy_credit_text,film_runtime,print_source,permission,location,date,datetime_one,datetime_two
event_90001,,"School children exploring a cave on the Arctic coast find a musket dating from the Crimean War. Guided by their teacher, they try to discover how it came to be so far from the scene of the fighting, and eventually learn of a heroic deed—shown in flashbacks—performed in their village a century before. 
Directed by B. Bureyev. With V. Grachov. (1956, 73 mins, English titles, Print Courtesy of MacMillan Audio Brandon) ","Directed by B. Bureyev. With V. Grachov. (1956, 73 mins, English titles, Print Courtesy of MacMillan Audio Brandon) ",73,MacMillan Audio Brandon,,PFA Theater,1977-03-01,1977-03-01T18:00,
event_90002,"New German Cinema: The Films of Rosa Von Praunheim (2), Rosa Von Praunheim In Person! — Presented in Association with the San Francisco Goethe Institute, Four Short Films","By Rosa Von Praunheim: “A racist problem demonstrated by the example of a mother with three daughters and a maid in a consciously alien structure, through which the conflict of aggression and suppression is revealed. The tragic conclusion, which for us can only be drawn in an alienating way, lays claim to objectivity. 
(1968, 12 mins, in German, with English synopsis) 
Pink Workers in Golden Street: Von Praunheim’s second 16mm short was well received at the Oberhausen Film Festival, and was later sold to German TV. The film stars Carla Aulaulu as an actress who, having barely escaped political imprisonment in the East, finds herself in a theatre production where she must come to terms with young, left-wing intellectuals. 
(1969, 12 mins, color, English version) 
Sisters of the Revolution: Initially conceived as a feature-length work, Sisters of the Revolution edited by Von Paunheim into a three-part 20-minute short. Part One concerns a strike force of homosexuals who work for the liberation of women. Part Two is a drama of a family that has long been separated by political involvements. Part Three deals with middle-class marriage partners who irritate each other with discussions about the form of their togetherness. With Carla Aulaulu, Werner Schroeter, Hannes Flutsch. 
(1969, 20 mins, color, English version) 
Macbeth: Both Von Praunheim and his fellow German filmmaker Werner Schroeter directed radical versions of Macbeth for German TV. Filmed largely on location in Cornwall, England, the film stars Magdalena Montezuma as Lady Macbeth, and for Von Praunheim’s the film’s meaning lies in “the analysis of language.” 
(1970, 45 mins, color, English narration)","(1968, 12 mins, in German, with English synopsis) ",12,,,PFA Theater,1977-03-01,1977-03-01T19:30,
event_90003,"New German Cinema: The Films of Rosa Von Praunheim (2), Rosa Von Praunheim In Person! — Presented in Association with the San Francisco Goethe Institute, Four Short Films","By Rosa Von Praunheim: “A racist problem demonstrated by the example of a mother with three daughters and a maid in a consciously alien structure, through which the conflict of aggression and suppression is revealed. The tragic conclusion, which for us can only be drawn in an alienating way, lays claim to objectivity. 
(1968, 12 mins, in German, with English synopsis) 
Pink Workers in Golden Street: Von Praunheim’s second 16mm short was well received at the Oberhausen Film Festival, and was later sold to German TV. The film stars Carla Aulaulu as an actress who, having barely escaped political imprisonment in the East, finds herself in a theatre production where she must come to terms with young, left-wing intellectuals. 
(1969, 12 mins, color, English version) 
Sisters of the Revolution: Initially conceived as a feature-length work, Sisters of the Revolution edited by Von Paunheim into a three-part 20-minute short. Part One concerns a strike force of homosexuals who work for the liberation of women. Part Two is a drama of a family that has long been separated by political involvements. Part Three deals with middle-class marriage partners who irritate each other with discussions about the form of their togetherness. With Carla Aulaulu, Werner Schroeter, Hannes Flutsch. 
(1969, 20 mins, color, English version) 
Macbeth: Both Von Praunheim and his fellow German filmmaker Werner Schroeter directed radical versions of Macbeth for German TV. Filmed largely on location in Cornwall, England, the film stars Magdalena Montezuma as Lady Macbeth, and for Von Praunheim’s the film’s meaning lies in “the analysis of language.” 
(1970, 45 mins, color, English narration)","(1969, 12 mins, color, English version) ",12,,,PFA Theater,1977-03-01,1977-03-01T19:30,
event_90004,"New German Cinema: The Films of Rosa Von Praunheim (2), Rosa Von Praunheim In Person! — Presented in Association with the San Francisco Goethe Institute, Four Short Films","By Rosa Von Praunheim: “A racist problem demonstrated by the example of a mother with three daughters and a maid in a consciously alien structure, through which the conflict of aggression and suppression is revealed. The tragic conclusion, which for us can only be drawn in an alienating way, lays claim to objectivity. 
(1968, 12 mins, in German, with English synopsis) 
Pink Workers in Golden Street: Von Praunheim’s second 16mm short was well received at the Oberhausen Film Festival, and was later sold to German TV. The film stars Carla Aulaulu as an actress who, having barely escaped political imprisonment in the East, finds herself in a theatre production where she must come to terms with young, left-wing intellectuals. 
(1969, 12 mins, color, English version) 
Sisters of the Revolution: Initially conceived as a feature-length work, Sisters of the Revolution edited by Von Paunheim into a three-part 20-minute short. Part One concerns a strike force of homosexuals who work for the liberation of women. Part Two is a drama of a family that has long been separated by political involvements. Part Three deals with middle-class marriage partners who irritate each other with discussions about the form of their togetherness. With Carla Aulaulu, Werner Schroeter, Hannes Flutsch. 
(1969, 20 mins, color, English version) 
Macbeth: Both Von Praunheim and his fellow German filmmaker Werner Schroeter directed radical versions of Macbeth for German TV. Filmed largely on location in Cornwall, England, the film stars Magdalena Montezuma as Lady Macbeth, and for Von Praunheim’s the film’s meaning lies in “the analysis of language.” 
(1970, 45 mins, color, English narration)","(1969, 20 mins, color, English version) ",20,,,PFA Theater,1977-03-01,1977-03-01T19:30,
event_90005,"New German Cinema: The Films of Rosa Von Praunheim (2), Rosa Von Praunheim In Person! — Presented in Association with the San Francisco Goethe Institute, Four Short Films","By Rosa Von Praunheim: “A racist problem demonstrated by the example of a mother with three daughters and a maid in a consciously alien structure, through which the conflict of aggression and suppression is revealed. The tragic conclusion, which for us can only be drawn in an alienating way, lays claim to objectivity. 
(1968, 12 mins, in German, with English synopsis) 
Pink Workers in Golden Street: Von Praunheim’s second 16mm short was well received at the Oberhausen Film Festival, and was later sold to German TV. The film stars Carla Aulaulu as an actress who, having barely escaped political imprisonment in the East, finds herself in a theatre production where she must come to terms with young, left-wing intellectuals. 
(1969, 12 mins, color, English version) 
Sisters of the Revolution: Initially conceived as a feature-length work, Sisters of the Revolution edited by Von Paunheim into a three-part 20-minute short. Part One concerns a strike force of homosexuals who work for the liberation of women. Part Two is a drama of a family that has long been separated by political involvements. Part Three deals with middle-class marriage partners who irritate each other with discussions about the form of their togetherness. With Carla Aulaulu, Werner Schroeter, Hannes Flutsch. 
(1969, 20 mins, color, English version) 
Macbeth: Both Von Praunheim and his fellow German filmmaker Werner Schroeter directed radical versions of Macbeth for German TV. Filmed largely on location in Cornwall, England, the film stars Magdalena Montezuma as Lady Macbeth, and for Von Praunheim’s the film’s meaning lies in “the analysis of language.” 
(1970, 45 mins, color, English narration)","(1970, 45 mins, color, English narration)",45,,,PFA Theater,1977-03-01,1977-03-01T19:30,
event_90006,,"Based on a novella by Dostoevsky, Une Femme Douce (A Gentle Creature) is framed by a flashback, the oldest device in film narrative, but here used to novel effect by a New Cinema master. A gentle wife dies, a suicide. Her husband, an antique pawnbroker, sits by the bed on which her body lies and reconstructs the past, in an attempt to (re)trace the paths which led his wife to this end. His attempts are foiled. He never knows. Neither do we. Bresson narrates the story of their relationship with his usual austerity, and breathtaking economy of style. As the wife, Dominique Sanda displays a degree of sensuality that is both tantalizing, in that Bresson refuses to exploit it conventionally, and totally unexpected. Une Femme Douce is also unique as Bresson’s first film in color, which is used subtly to stress texture rather than tone. As always with Bresson, the film is irresistibly moving in a way that is as hard to explain as it is to resist. 
Directed by Robert Bresson. Screenplay by Bresson from a story by Dostoevsky. Photographed by Ghislain Cloquet. With Dominique Sanda, Guy Frangin. (1969, 87 mins, 35mm, Color, English Titles, Print Courtesy of New Yorker Films) ","Directed by Robert Bresson. Screenplay by Bresson from a story by Dostoevsky. Photographed by Ghislain Cloquet. With Dominique Sanda, Guy Frangin. (1969, 87 mins, 35mm, Color, English Titles, Print Courtesy of New Yorker Films) ",87,New Yorker Films,,PFA Theater,1977-03-01,1977-03-01T21:30,
event_90007,Little-Known Films From The USSR,"Based on a famous novel, Zemlya, this film is set in the Ukrainian wheat country a century ago. It tells of two brothers’ struggle for the favored spot in a typical farm owner’s home. 
Directed by A. Buchma and A. Shvachko. With Natalia Uzhvy, V. Sokirko. (1954, 82 mins, English titles, Print Courtesy of MacMillan Audio Brandon)","Directed by A. Buchma and A. Shvachko. With Natalia Uzhvy, V. Sokirko. (1954, 82 mins, English titles, Print Courtesy of MacMillan Audio Brandon)",82,MacMillan Audio Brandon,,PFA Theater,1977-03-02,1977-03-02T18:00,
event_90008,Peter Von Bagh Presents: Two Adaptations of the Classic Finnish Novel Juha,"The Finnish critic Peter Von Bagh will present two adaptations of the neo-Romantic Finnish novel Juha by Juhani Aho. “The story tells of Marja, a former servant girl, who lives out of wedlock with Juha, who is distinctly older than she and plain simple-minded. Shemeikka, a traveler from Karelia, passes through and seduces Marja away, promising true love and excitement. . . . Stiller’s version centers on class barriers and the psychological conflict they condition. . . . In his adaptation of Aho’s “Juha,” Tapiovaara immediately found what was essential in the story: man and nature, a theme so often treated mechanically or superficially by the cinema, here finds expression worthy of its inspiration.” (Peter Von Bagh and Sakari Toiviainen) 
Mauritz Stiller’s silent Swedish-produced version of Juha will be shown in a beautifully restored 35mm print with the original red tinting—copied from a surviving nitrate print by means of a color analyzer. Stiller shot the film on location in Lapland, near the Swedish-Finnish border. 
Directed by Mauritz Stiller. Screenplay by Stiller from the novel by Juhani Aho. With Jenny Hasselquist, Mathias Taube, Hildegard Harring. (1921, 90 mins, 35mm, Swedish Intertitles with Live English Translation)","Directed by Mauritz Stiller. Screenplay by Stiller from the novel by Juhani Aho. With Jenny Hasselquist, Mathias Taube, Hildegard Harring. (1921, 90 mins, 35mm, Swedish Intertitles with Live English Translation)",90,,,PFA Theater,1977-03-02,1977-03-02T19:30,
event_90009,Peter Von Bagh Presents: Two Adaptations of the Classic Finnish Novel Juha,"The director of this Finnish sound adaptation of Juha, Nyrki Tapiovaara, is generally regarded as the most important director to have appeared so far in the Finnish Cinema. Tapiovaara was a militant Marxist with a background in theater and film society work who directed four films between 1937 and 1939 before he was killed at age 29 in the Soviet-Finnish Winter War, in 1940. Never before shown in America, Tapiovaara’s Juha is a major rediscovery in world film culture. 
Directed by Nyrki Tapiovara. With Irma Seikkula, Hannes Narhi. (1937, 90 mins, 35mm, English Titles, Print Courtesy of the American Film Institute)","Directed by Nyrki Tapiovara. With Irma Seikkula, Hannes Narhi. (1937, 90 mins, 35mm, English Titles, Print Courtesy of the American Film Institute) ",90,American Film Institute,,PFA Theater,1977-03-02,1977-03-02T19:30,
event_90010,New German Cinema: The Films of Rosa Von Praunheim (3) — Two West Coast Premieres! Rosa Von Praunheim In Person! Presented in Association with the San Francisco Goethe Institute. In Wheeler Auditorium! $2.50,"A drama of homosexual relationships, this film is as militant as the title suggests, and gained great noterity for Von Praunheim in the New German Cinema that was emerging with force on the world scene in 1971. Von Praunheim has stated: “The film should activate homosexuals, challenge them to overcome their excessive fear and fight for their rights themselves. The world of the narrow-minded is not any cleaner than that of the queers, and the queers have all the more right to be as queer as they want. . . . We did not want to make an untruthful, adapted film which shows the homosexuals as a generally manly, adroit, clean fellow who has been living together with his friend happily and inconspicuously for 30 years. Liberals and queers would certainly not have longed for a film which beds the ‘normals’ for tolerance with a longing, inhibited, homosexual look. . . . The film has been made by homosexuals for homosexuals, but it should not be shown only in homosexual clubs in secret, but with every good right, on television for example.” 
Written and Directed by Rosa Von Praunheim. With Bernd Feuerhelm, Beryt Bohlen, Ernest Kuchling. (1971, 65 mins, Color, English version) 
Preceded by Introduction Film for “It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives” 
(1971, 12 mins, Color, English) 
*question period*

Underground and Emigrants
Made for the 1976 Berliner Festwochen, which was devoted to all aspects of the contemporary New York City art scene, Underground and Emigrants is a highly personal documentary report on the life-styles and creative activities of various German artists living in New York. Included in Von Praunheim’s first-person narrative are Lotte Lenya, Kurt Joos, Greta Keller. Grete Mosheim, Lil Picard, Lotte Jacobi, Alfred Eisenstaedt, Ernst Haas, Herbert Berghoff and Marlene Dietrich. 
(1976, 90 mins, Color, English Narration) ","Written and Directed by Rosa Von Praunheim. With Bernd Feuerhelm, Beryt Bohlen, Ernest Kuchling. (1971, 65 mins, Color, English version) ",65,,,Wheeler Auditorium,1977-03-02,1977-03-02T19:30,
