exhibition_number,series_title,artist_list,artistList,exhibitionDates,location,bampfaCurator,outside_organizer,supplementaryProgramsEtc,catalog_notes,brochure_notes,tour_notes,Works from Collection? XX = list of 500,onListof500priorityWorks,isPriorityForWebsite,isoDates,series_start_date,series_end_date
1,Toward A University Arts Center,,,"January 6-February 16, 1966",Powerhouse Gallery,Staff,Professor C. Peters,,Catalog,,,,,,"(datetime.datetime(1966, 1, 6, 0, 0), datetime.datetime(1966, 2, 16, 0, 0))",1966-01-06,1966-02-16
2,Directions in Kinetic Sculpture,Fletcher Benton;David Boriani;Robert Breer;Pol Bury;Gianni Colombo;Gerhard von Graevenitz;Hans Haacke;Harry Kramer;Len Lye;Heinz Mack;Charles Mattox;George Rickey;Takis;Jean Tinguely,Fletcher Benton;David Boriani;Robert Breer;Pol Bury;Gianni Colombo;Gerhard von Graevenitz;Hans Haacke;Harry Kramer;Len Lye;Heinz Mack;Charles Mattox;George Rickey;Takis;Jean Tinguely,"March 17-April 30, 1966",Powerhouse Gallery,Peter Selz,,,Catalog,,Tour: Santa Barbara Museum of Art,x,,x,"(datetime.datetime(1966, 3, 17, 0, 0), datetime.datetime(1966, 4, 30, 0, 0))",1966-01-06,1966-02-16
3,Selection 1966: The University Art Collections,,,"May 23-September 6, 1966",Powerhouse Gallery,Staff,,,Catalog,,,,,,"(datetime.datetime(1966, 5, 23, 0, 0), datetime.datetime(1966, 9, 6, 0, 0))",1966-01-06,1966-02-16
4,Magritte,,René Magritte,"October 3-30, 1966",Powerhouse Gallery,Staff,"The Museum of Modern Art, New York",,,,,,,,"(datetime.datetime(1966, 10, 3, 0, 0), datetime.datetime(1966, 10, 30, 0, 0))",1966-01-06,1966-02-16
5,Pascin,,Jules Pascin,"November 14-December 18, 1966",Powerhouse Gallery,Staff,Tom L. Freudenheim,,Catalog,,,,,,"(datetime.datetime(1966, 11, 14, 0, 0), datetime.datetime(1966, 12, 18, 0, 0))",1966-01-06,1966-02-16
6,Medieval Manuscripts From the William S. Glazier Collection,,,"January 9-February 5, 1967",Powerhouse Gallery,Staff,"Pierpont Morgan Library, New York",,,,,,,,"(datetime.datetime(1967, 1, 9, 0, 0), datetime.datetime(1967, 2, 5, 0, 0))",1966-01-06,1966-02-16
7,Modern Paintings from the Hazen Collection,,,"February 20-March 26, 1967",Powerhouse Gallery,Staff,"The Israel Museum, Jerusalem",,,,,,,,"(datetime.datetime(1967, 2, 20, 0, 0), datetime.datetime(1967, 3, 26, 0, 0))",1966-01-06,1966-02-16
8,Funk,Arlo Acton;Bob Anderson;Jeremy Anderson;Robert Arneson;Mowry Baden;Jerrold Ballaine;Sue Bitney;Joan Brown;Bruce Conner;Roy De Forest;William Geis;David Gilhooly;Mel Henderson;Robert Hudson;Jean Linder;Jim Melchert;Gary Molitor;William Morehouse;Manuel Neri;Harold Paris;Don Potts;Kenneth Price;Peter Saul;Peter Voulkos;William T. Wiley;Franklin Williams,Arlo Acton;Bob Anderson;Jeremy Anderson;Robert Arneson;Mowry Baden;Jerrold Ballaine;Sue Bitney;Joan Brown;Bruce Conner;Roy De Forest;William Geis;David Gilhooly;Mel Henderson;Robert Hudson;Jean Linder;Jim Melchert;Gary Molitor;William Morehouse;Manuel Neri;Harold Paris;Don Potts;Kenneth Price;Peter Saul;Peter Voulkos;William T. Wiley;Franklin Williams,"April 18-May 29, 1967",Powerhouse Gallery,Peter Selz,,,Catalog,,,x,,x,"(datetime.datetime(1967, 4, 18, 0, 0), datetime.datetime(1967, 5, 29, 0, 0))",1966-01-06,1966-02-16
9,Selection 1967: Recent Accessions in Modern Art,,,"June 20-September 10, 1967",Powerhouse Gallery,Staff,,,Catalog,,,,,,"(datetime.datetime(1967, 6, 20, 0, 0), datetime.datetime(1967, 9, 10, 0, 0))",1966-01-06,1966-02-16
10,Once Invisible,,,"October 6-November 5, 1967",Powerhouse Gallery,Staff,"The Museum of Modern Art, New York",,,,,,,,"(datetime.datetime(1967, 10, 6, 0, 0), datetime.datetime(1967, 11, 5, 0, 0))",1966-01-06,1966-02-16
11,R. B. Kitaj,,R. B. Kitaj,"October 6-November 12, 1967",Worth Ryder Gallery,Peter Selz,,,Catalog,,,x,,,"(datetime.datetime(1967, 10, 6, 0, 0), datetime.datetime(1967, 11, 12, 0, 0))",1966-01-06,1966-02-16
12,Faculty Show: University of California (Berkeley) Art Department,,,"November 20-December 31, 1967",Powerhouse Gallery,Staff,,,Catalog,,,,,,"(datetime.datetime(1967, 11, 20, 0, 0), datetime.datetime(1967, 12, 31, 0, 0))",1966-01-06,1966-02-16
13,Nolde: The 'Unpainted' Pictures,,Emile Nolde,"November 27-December 21, 1967",Worth Ryder Gallery,Staff,"The Nolde Foundation, Seebull",,,,,,,,"(datetime.datetime(1967, 11, 27, 0, 0), datetime.datetime(1967, 12, 21, 0, 0))",1966-01-06,1966-02-16
14,Sam Francis,,Sam Francis,"January 15-February 18, 1968",Powerhouse Gallery,Staff,"Museum of Fine Arts, Houston",,,,,x,,,"(datetime.datetime(1968, 1, 15, 0, 0), datetime.datetime(1968, 2, 18, 0, 0))",1966-01-06,1966-02-16
15,New British Painting and Sculpture,,,"March 4-April 7, 1968",Powerhouse Gallery,Staff,"Whitechapel Gallery, London",,,,,,,,"(datetime.datetime(1968, 3, 4, 0, 0), datetime.datetime(1968, 4, 7, 0, 0))",1966-01-06,1966-02-16
16,Eduardo Paolozzi: A Print Retrospective,,Eduardo Paolozzi,"April 1-21, 1968",Worth Ryder Gallery,Staff,"Editions Alecto, London",,Catalog,,,x,,,"(datetime.datetime(1968, 4, 1, 0, 0), datetime.datetime(1968, 4, 21, 0, 0))",1966-01-06,1966-02-16
17,Master Drawings from California Collections,,,"April 29-July 14, 1968",Powerhouse Gallery,Staff,Professor Juergen Schulz and seminar,,Catalog,,,,,,"(datetime.datetime(1968, 4, 29, 0, 0), datetime.datetime(1968, 7, 14, 0, 0))",1966-01-06,1966-02-16
18,Rico Lebrun,,Rico Lebrun,"June 17-July 14, 1968",Powerhouse Gallery,Staff,Los Angeles County Museum of Art,,,,,,,,"(datetime.datetime(1968, 6, 17, 0, 0), datetime.datetime(1968, 7, 14, 0, 0))",1966-01-06,1966-02-16
19,Selection 1968: Recent Accessions to the University Art Collections,,,"August 6-September 15, 1968",Powerhouse Gallery,Staff,,,Catalog,,,,,,"(datetime.datetime(1968, 8, 6, 0, 0), datetime.datetime(1968, 9, 15, 0, 0))",1966-01-06,1966-02-16
20,Hundertwasser,,,"October 8-November 10, 1968",Powerhouse Gallery,Staff,Professor Herschel B. Chipp and Brenda Richardson,,Catalog,,,,,,"(datetime.datetime(1968, 10, 8, 0, 0), datetime.datetime(1968, 11, 10, 0, 0))",1966-01-06,1966-02-16
21,The Art of Tomioka Tessai,,Tomioka Tessai,"November 25-December 29, 1968",Powerhouse Gallery,Staff,"International Exhibitions Foundation, Washington, D. C. ",,,,,,,,"(datetime.datetime(1968, 11, 25, 0, 0), datetime.datetime(1968, 12, 29, 0, 0))",1966-01-06,1966-02-16
22,Air Art,,,"January 14-February 16, 1969",Powerhouse Gallery,Staff,"Kineticism Press, New York",,,,,,,,"(datetime.datetime(1969, 1, 14, 0, 0), datetime.datetime(1969, 2, 16, 0, 0))",1966-01-06,1966-02-16
23,The Drawings of Eric Mendelsohn,,Erich Mendelsohn,"March 5-April 13, 1969",Powerhouse Gallery,Susan King,,,Catalog,,,,,,"(datetime.datetime(1969, 3, 5, 0, 0), datetime.datetime(1969, 4, 13, 0, 0))",1966-01-06,1966-02-16
