exhibitionNumber,exhibitionTitle,Link to bampfa.org exhibition record,artistsAdditional,artistList,exhibitionDates,Location,bampfaCurator,outsideOrganizer,supplementaryProgramsEtc,catalogExists,brochureExists,didTour,Works from Collection? XX = list of 500,onListof500priorityWorks,isPriorityForWebsite
1,Toward A University Arts Center,,,,"January 6-February 16, 1966",Powerhouse Gallery,Staff,Professor C. Peters,,Catalog,,,,,
2,Directions in Kinetic Sculpture,,Fletcher Benton;David Boriani;Robert Breer;Pol Bury;Gianni Colombo;Gerhard von Graevenitz;Hans Haacke;Harry Kramer;Len Lye;Heinz Mack;Charles Mattox;George Rickey;Takis;Jean Tinguely,Fletcher Benton;David Boriani;Robert Breer;Pol Bury;Gianni Colombo;Gerhard von Graevenitz;Hans Haacke;Harry Kramer;Len Lye;Heinz Mack;Charles Mattox;George Rickey;Takis;Jean Tinguely,"March 17-April 30, 1966",Powerhouse Gallery,Peter Selz,,,Catalog,,Tour: Santa Barbara Museum of Art,x,,x
3,Selection 1966: The University Art Collections,,,,"May 23-September 6, 1966",Powerhouse Gallery,Staff,,,Catalog,,,,,
4,Magritte,,,René Magritte,"October 3-30, 1966",Powerhouse Gallery,Staff,"The Museum of Modern Art, New York",,,,,,,
5,Pascin,,,Jules Pascin,"November 14-December 18, 1966",Powerhouse Gallery,Staff,Tom L. Freudenheim,,Catalog,,,,,
6,Medieval Manuscripts From the William S. Glazier Collection,,,,"January 9-February 5, 1967",Powerhouse Gallery,Staff,"Pierpont Morgan Library, New York",,,,,,,
7,Modern Paintings from the Hazen Collection,,,,"February 20-March 26, 1967",Powerhouse Gallery,Staff,"The Israel Museum, Jerusalem",,,,,,,
8,Funk,,Arlo Acton;Bob Anderson;Jeremy Anderson;Robert Arneson;Mowry Baden;Jerrold Ballaine;Sue Bitney;Joan Brown;Bruce Conner;Roy De Forest;William Geis;David Gilhooly;Mel Henderson;Robert Hudson;Jean Linder;Jim Melchert;Gary Molitor;William Morehouse;Manuel Neri;Harold Paris;Don Potts;Kenneth Price;Peter Saul;Peter Voulkos;William T. Wiley;Franklin Williams,Arlo Acton;Bob Anderson;Jeremy Anderson;Robert Arneson;Mowry Baden;Jerrold Ballaine;Sue Bitney;Joan Brown;Bruce Conner;Roy De Forest;William Geis;David Gilhooly;Mel Henderson;Robert Hudson;Jean Linder;Jim Melchert;Gary Molitor;William Morehouse;Manuel Neri;Harold Paris;Don Potts;Kenneth Price;Peter Saul;Peter Voulkos;William T. Wiley;Franklin Williams,"April 18-May 29, 1967",Powerhouse Gallery,Peter Selz,,,Catalog,,,x,,x
9,Selection 1967: Recent Accessions in Modern Art,,,,"June 20-September 10, 1967",Powerhouse Gallery,Staff,,,Catalog,,,,,
10,Once Invisible,,,,"October 6-November 5, 1967",Powerhouse Gallery,Staff,"The Museum of Modern Art, New York",,,,,,,
