Play Date,Showtime One,Showtime Two,Film Series,Film Screening Title / Odds and Ends,Film Title,Alternate Title,Long Description,Film Note Author,Film Note Author Title,Legacy Credits,Director,Screenwriter,Cinematographer,Cast/With,Country,Film Year,Film Run Time,Print Source,Permission,In Person Guest,Location,,,,,,,,,,Short Description
2/1/1978,6:00 PM,,The Films of Yasujiro Ozu & The Family in Japanese Cinema,,Ino and Mon,Ani imoto,"Ino and Mon was made in 1936, and is an adaptation of a prize-winning novel by Saisei Muro. According to one Japanese critic: “Director Kimura successfully transfers the psychological density of Muro’s prose to the screen by drawing on the natural characteristics of his actors. Akaza, who oversees basket-making near the Tama River, and his wife Riki, have three children. The oldest, his son Ino, is a stonecutter, while daughters Mon and San are sent to work as maids in Tokyo households. Mon is sent home, pregnant. The whereabouts of her lover, a college student, are uncertain. The family’s reaction, particularly that of Ino, illustrates the crude gut-level emotional base of family ties.” (Translated by Alan Poul).                                                        Directed by Sotoji Kimura. Based on the novel by Saisei Muro. With Yoshio Kosugi, Yuriko Hanabusa. (1936, 60 mins, 35mm, English titles)",,,"Directed by Sotoji Kimura. Based on the novel by Saisei Muro. With Yoshio Kosugi, Yuriko Hanabusa. (1936, 60 mins, 35mm, English titles)",Sotoji Kimura,,,"Yoshio Kosugi, Yuriko Hanabusa",Japan,1936,60,,,,PFA Theater,,,,,,,,,,
2/1/1978,7:30 PM,9:30 PM,The Films of Yasujiro Ozu & The Family in Japanese Cinema,,Late Spring,Banshun,"“Ozu’s home drama, however, is of a special sort. He neither affirms the family as, for example, Keisuke Kinoshita does in his later films, nor condemns it, as Mikio Naruse does in many of his films. Rather, though Ozu creates a world that is the family in one or another of its varied aspects, his focus is on its dissolution. . . . The dissolution of the family is a catastrophe because in Japan—as contrasted with the United States, where leaving the family is considered proof of maturity—one’s sense of self depends to an important extent upon those with whom one lives, studies, or works. An identification with family (or with clan, nation, school, or company) is necessary for a complete identification of self.” —Donald Richie, Ozu
In Late Spring, a father feels he is keeping his daughter from marriage; when she is erroneously told that her father is thinking of re-marrying, she agrees to an offer. Donald Richie is not alone in considering Late Spring “one of the most perfect, most complete, and most successful studies of character ever achieved in the Japanese Cinema.” The farewell trip to Kyoto, in particular, must be numbered among Ozu’s most moving sequences.                                                                                           Directed by Yasujiro Ozu. With Setsuko Hara, Chishu Ryu. (1949, 107 mins. 35mm. English titles. Print Courtesy of New Yorker Films)",,,"Directed by Yasujiro Ozu. With Setsuko Hara, Chishu Ryu. (1949, 107 mins. 35mm. English titles. Print Courtesy of New Yorker Films)",Yasujiro Ozu,,,"Setsuko Hara, Chishu Ryu",Japan,1949,107,New Yorker Films,,,PFA Theater,,,,,,,,,,
2/1/1978,7:30 PM,,"The Films of Robert Kramer (and Friends) or, the History of the Movement as Viewed from Within ",Robert Kramer in Person!; Admission $2.50,Milestones,,"Five years after the guerrilla fantasies of Ice, Robert Kramer and John Douglas turned the cameras on themselves, their friends, and on characters like them. Milestones begins with the scripted remembrances of an immigrant woman clothing worker approaching death, and ends three hours later with the birth of a child in a Northern California commune. In between, some 50 interconnected characters play both their scripted roles and themselves, revealing more by what they do than by the improvised lines they are speaking. 
Kramer’s subjects are the sons and daughters of the bourgeoisie, on the whole alienated from their families and class, but still very much in tune with bourgeois values, sensibilities, and privileges. Ranging from filmmaker to potter, organic farmer to draft resister, acupuncturist to isolated political organizer, these characters retain an incredible social mobility. They pass easily in and out of the bourgeois world, accepting poverty and working-class life only as long as it suits them. It’s amazingly schizophrenic, fascinating to watch, and utterly true. 
Milestones has been damned from its narcissistic and sentimental view of the Movement, but its disparate cast characters—now in search of their families, their history, and themselves—are painfully close to home. “The process of making Milestones was the process of getting mobilized again. Others arrive by different routes.” (Robert Kramer) —Program note by Tom Brom. Written, Protographed and Directed by Robert Kramer and John Douglas. Lighting and Sound by Philip Spinelli. Research and Sound Editing by Marilyn Mulford. With Sharon Krebs, David Bernstein, Mary Chapelle, Pola Champelle, John Douglas, Jay Foley, Robert Ho, Alan Jacobs, Grace Paley, David Stone, Barbara Stone, Paul Zimet. (1975, 195 mins, Color, Print Courtesy of Robert Kramer)",Tom Brom ,,"Written, Protographed and Directed by Robert Kramer and John Douglas. Lighting and Sound by Philip Spinelli. Research and Sound Editing by Marilyn Mulford. With Sharon Krebs, David Bernstein, Mary Chapelle, Pola Champelle, John Douglas, Jay Foley, Robert Ho, Alan Jacobs, Grace Paley, David Stone, Barbara Stone, Paul Zimet. (1975, 195 mins, Color, Print Courtesy of Robert Kramer)",Robert Kramer and John Douglas,Robert Kramer and John Douglas,Robert Kramer and John Douglas,"Sharon Krebs, David Bernstein, Mary Chapelle, Pola Champelle, John Douglas, Jay Foley, Robert Ho, Alan Jacobs, Grace Paley, David Stone, Barbara Stone, Paul Zimet.",,1975,195,Robert Kramer,,Robert Kramer ,Wheeler Auditorium ,,,,,,,,,,
2/2/1978,4:00 PM,,Yvette Biro Presents Contemporary Eastern European Cinema,Presented in Assoication with The Center of Slavic and East European Studies; admission free,A Report on the Party and the Guests,,"This series has been programmed by the visiting Hungarian film critic and script writer Yvette Biro, who is presently teaching in the Group Major in Film at Berkeley and in the Department of Communications at Stanford. Ms. Biro will speak briefly before each film screened in the series, and has provided the following note on this celebrated film by Jan Nemec, who is presently living in Los Angeles where he hopes to find the possibility to resume a brilliant career cut short by the events of August 1968 in Prague. Nemec belongs to the metaphorical filmmakers of the Czech New Wave. Diamonds of the Night, and his short segment of the episodic film Pearls at the Bottom—based on Hrabal’s short stories, made with Chytilova, Jires, Menzel and Passer—set him apart from the realistic trend: a touch of the surrealistic and fierce, unexpected elements distinguish his work. But it was the Report that revealed Nemec’s full range of talents. It is a labyrinth-like parable, difficult to penetrate, within the framework of an apparently innocent country picnic. A satyrical, cruel tale, it abounds with symbols, where the Kafkaesque absurd is mixed with the poetic influence of Czech surrealism. The message: in order to survive in a world which it is not easy to cope with, one must learn to play the game, or at least learn to fake it. 
Directed by Jan Nemec. Screenplay by Jan Nemec and Ester Krumbachova. With Ivan Vsykocil, Jan Klusak, Jiri Nemec. (1966, 71 mins, 35mm, English title, Print Courtesy of Audio Brandon) 
Plus, two shorts from the Bela Balazs Studio in Budapest, where young filmmakers are able to make experimental short films and low-budget documentaries and featurettes: Ferenc Kardos’ The World Is Ours (14 mins, made in the mid-’60s) and Mark Novak’s Tuesday (20 mins, also made in the mid-’60s). (Prints courtesy of Audio Brandon)",,,"Directed by Jan Nemec. Screenplay by Jan Nemec and Ester Krumbachova. With Ivan Vsykocil, Jan Klusak, Jiri Nemec. (1966, 71 mins, 35mm, English title, Print Courtesy of Audio Brandon)",Jan Nemec,Jan Nemec and Ester Krembachova,,"Ivan Vsykocil, Jan Klusak, Jiri Nemec",,1966,71,Audio Brandon ,,,PFA Theater,,,,,,,,,,
2/2/1978,4:00 PM,,Yvette Biro Presents Contemporary Eastern European Cinema,Presented in Assoication with The Center of Slavic and East European Studies; admission free,The World Is Ours,,"This series has been programmed by the visiting Hungarian film critic and script writer Yvette Biro, who is presently teaching in the Group Major in Film at Berkeley and in the Department of Communications at Stanford. Ms. Biro will speak briefly before each film screened in the series, and has provided the following note on this celebrated film by Jan Nemec, who is presently living in Los Angeles where he hopes to find the possibility to resume a brilliant career cut short by the events of August 1968 in Prague. Nemec belongs to the metaphorical filmmakers of the Czech New Wave. Diamonds of the Night, and his short segment of the episodic film Pearls at the Bottom—based on Hrabal’s short stories, made with Chytilova, Jires, Menzel and Passer—set him apart from the realistic trend: a touch of the surrealistic and fierce, unexpected elements distinguish his work. But it was the Report that revealed Nemec’s full range of talents. It is a labyrinth-like parable, difficult to penetrate, within the framework of an apparently innocent country picnic. A satyrical, cruel tale, it abounds with symbols, where the Kafkaesque absurd is mixed with the poetic influence of Czech surrealism. The message: in order to survive in a world which it is not easy to cope with, one must learn to play the game, or at least learn to fake it. 
Directed by Jan Nemec. Screenplay by Jan Nemec and Ester Krumbachova. With Ivan Vsykocil, Jan Klusak, Jiri Nemec. (1966, 71 mins, 35mm, English title, Print Courtesy of Audio Brandon) 
Plus, two shorts from the Bela Balazs Studio in Budapest, where young filmmakers are able to make experimental short films and low-budget documentaries and featurettes: Ferenc Kardos’ The World Is Ours (14 mins, made in the mid-’60s) and Mark Novak’s Tuesday (20 mins, also made in the mid-’60s). (Prints courtesy of Audio Brandon)",,,(Prints courtesy of Audio Brandon),,,,,,mid-'60s,14,Audio Brandon ,,,PFA Theater,,,,,,,,,,
2/2/1978,4:00 PM,,Yvette Biro Presents Contemporary Eastern European Cinema,Presented in Assoication with The Center of Slavic and East European Studies; admission free,Tuesday,,"This series has been programmed by the visiting Hungarian film critic and script writer Yvette Biro, who is presently teaching in the Group Major in Film at Berkeley and in the Department of Communications at Stanford. Ms. Biro will speak briefly before each film screened in the series, and has provided the following note on this celebrated film by Jan Nemec, who is presently living in Los Angeles where he hopes to find the possibility to resume a brilliant career cut short by the events of August 1968 in Prague. Nemec belongs to the metaphorical filmmakers of the Czech New Wave. Diamonds of the Night, and his short segment of the episodic film Pearls at the Bottom—based on Hrabal’s short stories, made with Chytilova, Jires, Menzel and Passer—set him apart from the realistic trend: a touch of the surrealistic and fierce, unexpected elements distinguish his work. But it was the Report that revealed Nemec’s full range of talents. It is a labyrinth-like parable, difficult to penetrate, within the framework of an apparently innocent country picnic. A satyrical, cruel tale, it abounds with symbols, where the Kafkaesque absurd is mixed with the poetic influence of Czech surrealism. The message: in order to survive in a world which it is not easy to cope with, one must learn to play the game, or at least learn to fake it. 
Directed by Jan Nemec. Screenplay by Jan Nemec and Ester Krumbachova. With Ivan Vsykocil, Jan Klusak, Jiri Nemec. (1966, 71 mins, 35mm, English title, Print Courtesy of Audio Brandon) 
Plus, two shorts from the Bela Balazs Studio in Budapest, where young filmmakers are able to make experimental short films and low-budget documentaries and featurettes: Ferenc Kardos’ The World Is Ours (14 mins, made in the mid-’60s) and Mark Novak’s Tuesday (20 mins, also made in the mid-’60s). (Prints courtesy of Audio Brandon)",,,(Prints courtesy of Audio Brandon),,,,,,mid-'60s,20,Audio Brandon,,,PFA Theater,,,,,,,,,,
2/2/1978,7:30 PM,,"Senegal: Fifteen Years of an African Cinema, 1962–1977",The Films of Paulin Soumanou Vieyra: Paulin Soumanou Vieyra in Person! (Tentative),It Was Four Years Ago,C'etait il y a quatre ans,"Paulin Soumanou Vieyra, called the father of Black African Cinema, was born in Port-Novo in Benin (then Dahomey) in 1925. He was the first Black African to graduate from the important Institute des Hautes Etudes Cinematografiques (IDHEC) in Paris. He had appeared as an extra in Autant-Lara’s Devil in the Flesh (1947), but his cinema debut as a director came in 1955 when he made his thesis film C’etait il ya quatre ans, which, though made in Paris, is rooted in Africa, and as such is regarded as the earliest Black African film. Aside from making more than 30 films, mostly documentaries sponsored by the government, Vieya has also worked as production manager/producer on many of Sembene’s films: as a critic/historian he has published several important texts, including “L’Afrique et le Cinema” (1969), “Ousmane Sembene,” Cineaste (Vol. 1, 1972), and “Les Cinemas Afriques des Origines a 1973” (1975). 
This program will include the following short films:
It Was Four Years Ago (C'etait il y a quatre ans)
An African student, far away from home, hears a song on the radio which reminds him of the dance he danced four years ago just prior to his departure from Africa. This is the situation Vieyra develops in his thesis film made at IDHEC in Paris. (1955, 7 mins)
Afrique-sur-Seine
Produced under the auspices of the Ethnographic Film Committee of The Museum of Man, Paris, this documentary was co-directed by Mamadou Sarr and deals with aspects of life of Africans in Paris. (1955, 22 mins, French commentary with English synopsis provided)
Mol
Photographed in 1956 as Un homme, un ideal, une vie, this film was not completed until 1966. Filmed in the villages of Nimzath and Cayar, Mol deals with a young fisherman who goes to Dakar to work on the docks in order to get money to return to his village with a motor for his boat. Directed by Paulin Soumanou Vieyra. Commentary written by Rene Clark and read by Med Hondo. (1955–56, 25 mins, color, French commentary with English synopsis)
A Nation is Born (Une nation est nee)
A report on the celebration in 1961 of the First Anniversary of Independence, the film evolved into a five-part work comprising the celebrations themselves, and four chapters of Senegalese history including: pre-European contact, colonization, the struggle for liberation, and national construction. (1962, 22 mins, color, French commentary with English synopsis provided)
N'diongane
An adaptation of a short story by the popular writer Birago Diop, it deals with a young boy’s resentment at having to replace his father as family head after the father is killed by a lion. (1965, 18 mins, color, In French with English synopsis provided) ",,,"(1955, 7 mins)",,,,,,1955,7,,,,PFA Theater,,,,,,,,,,
2/2/1978,7:30 PM,,"Senegal: Fifteen Years of an African Cinema, 1962–1977",The Films of Paulin Soumanou Vieyra: Paulin Soumanou Vieyra in Person! (Tentative),Afrique-sur-Seine,,"Paulin Soumanou Vieyra, called the father of Black African Cinema, was born in Port-Novo in Benin (then Dahomey) in 1925. He was the first Black African to graduate from the important Institute des Hautes Etudes Cinematografiques (IDHEC) in Paris. He had appeared as an extra in Autant-Lara’s Devil in the Flesh (1947), but his cinema debut as a director came in 1955 when he made his thesis film C’etait il ya quatre ans, which, though made in Paris, is rooted in Africa, and as such is regarded as the earliest Black African film. Aside from making more than 30 films, mostly documentaries sponsored by the government, Vieya has also worked as production manager/producer on many of Sembene’s films: as a critic/historian he has published several important texts, including “L’Afrique et le Cinema” (1969), “Ousmane Sembene,” Cineaste (Vol. 1, 1972), and “Les Cinemas Afriques des Origines a 1973” (1975). 
This program will include the following short films:
It Was Four Years Ago (C'etait il y a quatre ans)
An African student, far away from home, hears a song on the radio which reminds him of the dance he danced four years ago just prior to his departure from Africa. This is the situation Vieyra develops in his thesis film made at IDHEC in Paris. (1955, 7 mins)
Afrique-sur-Seine
Produced under the auspices of the Ethnographic Film Committee of The Museum of Man, Paris, this documentary was co-directed by Mamadou Sarr and deals with aspects of life of Africans in Paris. (1955, 22 mins, French commentary with English synopsis provided)
Mol
Photographed in 1956 as Un homme, un ideal, une vie, this film was not completed until 1966. Filmed in the villages of Nimzath and Cayar, Mol deals with a young fisherman who goes to Dakar to work on the docks in order to get money to return to his village with a motor for his boat. Directed by Paulin Soumanou Vieyra. Commentary written by Rene Clark and read by Med Hondo. (1955–56, 25 mins, color, French commentary with English synopsis)
A Nation is Born (Une nation est nee)
A report on the celebration in 1961 of the First Anniversary of Independence, the film evolved into a five-part work comprising the celebrations themselves, and four chapters of Senegalese history including: pre-European contact, colonization, the struggle for liberation, and national construction. (1962, 22 mins, color, French commentary with English synopsis provided)
N'diongane
An adaptation of a short story by the popular writer Birago Diop, it deals with a young boy’s resentment at having to replace his father as family head after the father is killed by a lion. (1965, 18 mins, color, In French with English synopsis provided) ",,,"(1955, 22 mins, French commentary with English synopsis provided)",,,,,,1955,22,,,,PFA Theater,,,,,,,,,,
2/2/1978,7:30 PM,,"Senegal: Fifteen Years of an African Cinema, 1962–1977",The Films of Paulin Soumanou Vieyra: Paulin Soumanou Vieyra in Person! (Tentative),Mol,,"Paulin Soumanou Vieyra, called the father of Black African Cinema, was born in Port-Novo in Benin (then Dahomey) in 1925. He was the first Black African to graduate from the important Institute des Hautes Etudes Cinematografiques (IDHEC) in Paris. He had appeared as an extra in Autant-Lara’s Devil in the Flesh (1947), but his cinema debut as a director came in 1955 when he made his thesis film C’etait il ya quatre ans, which, though made in Paris, is rooted in Africa, and as such is regarded as the earliest Black African film. Aside from making more than 30 films, mostly documentaries sponsored by the government, Vieya has also worked as production manager/producer on many of Sembene’s films: as a critic/historian he has published several important texts, including “L’Afrique et le Cinema” (1969), “Ousmane Sembene,” Cineaste (Vol. 1, 1972), and “Les Cinemas Afriques des Origines a 1973” (1975). 
This program will include the following short films:
It Was Four Years Ago (C'etait il y a quatre ans)
An African student, far away from home, hears a song on the radio which reminds him of the dance he danced four years ago just prior to his departure from Africa. This is the situation Vieyra develops in his thesis film made at IDHEC in Paris. (1955, 7 mins)
Afrique-sur-Seine
Produced under the auspices of the Ethnographic Film Committee of The Museum of Man, Paris, this documentary was co-directed by Mamadou Sarr and deals with aspects of life of Africans in Paris. (1955, 22 mins, French commentary with English synopsis provided)
Mol
Photographed in 1956 as Un homme, un ideal, une vie, this film was not completed until 1966. Filmed in the villages of Nimzath and Cayar, Mol deals with a young fisherman who goes to Dakar to work on the docks in order to get money to return to his village with a motor for his boat. Directed by Paulin Soumanou Vieyra. Commentary written by Rene Clark and read by Med Hondo. (1955–56, 25 mins, color, French commentary with English synopsis)
A Nation is Born (Une nation est nee)
A report on the celebration in 1961 of the First Anniversary of Independence, the film evolved into a five-part work comprising the celebrations themselves, and four chapters of Senegalese history including: pre-European contact, colonization, the struggle for liberation, and national construction. (1962, 22 mins, color, French commentary with English synopsis provided)
N'diongane
An adaptation of a short story by the popular writer Birago Diop, it deals with a young boy’s resentment at having to replace his father as family head after the father is killed by a lion. (1965, 18 mins, color, In French with English synopsis provided) ",,,"Directed by Paulin Soumanou Vieyra. Commentary written by Rene Clark and read by Med Hondo. (1955–56, 25 mins, color, French commentary with English synopsis)",Paulin Soumanou Vieyra,,,,,1955–56,25,,,,PFA Theater,,,,,,,,,,
2/2/1978,7:30 PM,,"Senegal: Fifteen Years of an African Cinema, 1962–1977",The Films of Paulin Soumanou Vieyra: Paulin Soumanou Vieyra in Person! (Tentative),A Nation is Born ,Une nation est nee,"Paulin Soumanou Vieyra, called the father of Black African Cinema, was born in Port-Novo in Benin (then Dahomey) in 1925. He was the first Black African to graduate from the important Institute des Hautes Etudes Cinematografiques (IDHEC) in Paris. He had appeared as an extra in Autant-Lara’s Devil in the Flesh (1947), but his cinema debut as a director came in 1955 when he made his thesis film C’etait il ya quatre ans, which, though made in Paris, is rooted in Africa, and as such is regarded as the earliest Black African film. Aside from making more than 30 films, mostly documentaries sponsored by the government, Vieya has also worked as production manager/producer on many of Sembene’s films: as a critic/historian he has published several important texts, including “L’Afrique et le Cinema” (1969), “Ousmane Sembene,” Cineaste (Vol. 1, 1972), and “Les Cinemas Afriques des Origines a 1973” (1975). 
This program will include the following short films:
It Was Four Years Ago (C'etait il y a quatre ans)
An African student, far away from home, hears a song on the radio which reminds him of the dance he danced four years ago just prior to his departure from Africa. This is the situation Vieyra develops in his thesis film made at IDHEC in Paris. (1955, 7 mins)
Afrique-sur-Seine
Produced under the auspices of the Ethnographic Film Committee of The Museum of Man, Paris, this documentary was co-directed by Mamadou Sarr and deals with aspects of life of Africans in Paris. (1955, 22 mins, French commentary with English synopsis provided)
Mol
Photographed in 1956 as Un homme, un ideal, une vie, this film was not completed until 1966. Filmed in the villages of Nimzath and Cayar, Mol deals with a young fisherman who goes to Dakar to work on the docks in order to get money to return to his village with a motor for his boat. Directed by Paulin Soumanou Vieyra. Commentary written by Rene Clark and read by Med Hondo. (1955–56, 25 mins, color, French commentary with English synopsis)
A Nation is Born (Une nation est nee)
A report on the celebration in 1961 of the First Anniversary of Independence, the film evolved into a five-part work comprising the celebrations themselves, and four chapters of Senegalese history including: pre-European contact, colonization, the struggle for liberation, and national construction. (1962, 22 mins, color, French commentary with English synopsis provided)
N'diongane
An adaptation of a short story by the popular writer Birago Diop, it deals with a young boy’s resentment at having to replace his father as family head after the father is killed by a lion. (1965, 18 mins, color, In French with English synopsis provided) ",,,"(1962, 22 mins, color, French commentary with English synopsis provided)",,,,,,1962,22,,,,PFA Theater,,,,,,,,,,
