import_row_id,display_name,wikidata_id,fname,lname
event_197802_0001,Sotoji Kimura,Q11519087,Sotoji,Kimura
event_197802_0002,Yasujirō Ozu,Q55402,Yasujiro,Ozu
event_197802_0003,Robert Kramer and John Douglas,,Robert,Kramer and John Douglas
event_197802_0004,Jan Němec,Q82022,Jan,Nemec
event_197802_0005,,,,
event_197802_0006,,,,
event_197802_0007,,,,
event_197802_0008,,,,
event_197802_0009,Paulin Soumanou Vieyra,Q1275444,Paulin,Soumanou Vieyra
event_197802_0010,,,,
event_197802_0011,,,,
event_197802_0012,John Ford,Q51114,John,Ford
event_197802_0013,Robert Kramer and Philip Spinelli,,Robert,Kramer and Philip Spinelli
event_197802_0014,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0015,Ben Diogaye Bèye,Q966717,Ben,Diogaye Beye
event_197802_0016,Ben Diogaye Bèye,Q966717,Ben,Diogaye Beye
event_197802_0017,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0018,Helmut Herbst and Brant Sloan,,Helmut,Herbst and Brant Sloan
event_197802_0019,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0020,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0021,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0022,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0023,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0024,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0025,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0026,Billy Wilder,Q51547,Billy,Wilder
event_197802_0027,Garson Kanin,Q1377923,Garson,Kanin
event_197802_0028,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0029,Blaise Senghor,Q2905807,Blaise,Senghor
event_197802_0030,Paulin Soumanou Vieyra,Q1275444,Paulin,Soumanou Vieyra
event_197802_0031,Momar Thiam,Q3319720,Momar,Thiam
event_197802_0032,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0033,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0034,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0035,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0036,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0037,Ousmane Sembène,Q314966,Ousmane,Sembene
event_197802_0038,Yasujirō Ozu,Q55402,Yasujiro,Ozu
event_197802_0039,Mikio Naruse,Q1371306,Mikio,Naruse
event_197802_0040,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0041,Erwin Leiser,Q96424,Erwin,Leiser
event_197802_0042,Miklós Jancsó,Q259240,Miklos,Jancso
event_197802_0043,Mitchell Block,Q6881146,Mitchell,W. Block
event_197802_0044,John Ford,Q51114,John,Ford
event_197802_0045,Stig Björkman,Q3499423,Stig,Bjorkman
event_197802_0046,Stig Björkman,Q3499423,Stig,Bjorkman
event_197802_0047,Ross Devinish,,Ross,Devinish
event_197802_0048,Nana Mahomo,,Nana,Mahomo
event_197802_0049,Luis Buñuel,Q51545,Luis,Bunuel
event_197802_0050,Georg Wilhelm Pabst,Q55421,G.,W. Pabst
event_197802_0051,Marc Allégret,Q284911,Marc,Allegret
event_197802_0052,,,,
event_197802_0053,Cecil B. DeMille,Q72267,Cecil,B. DeMille
event_197802_0054,John Collins,,John,Collins
event_197802_0055,Monta Bell,Q389128,Monta,Bell
event_197802_0056,Preston Sturges,Q546204,Preston,Sturges
event_197802_0057,Preston Sturges,Q546204,Preston,Sturges
event_197802_0058,Carl Wilhelm,Q85996,Carl,Wilhelm
event_197802_0059,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0060,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0061,Andrzej Wajda,Q106685,Andrzej,Wajda
event_197802_0062,John Collins,,John,Collins
event_197802_0063,Monta Bell,Q389128,Monta,Bell
event_197802_0064,Marcel L'Herbier,Q127109,Marcel,L’Herbier
event_197802_0065,Monta Bell,Q389128,Monta,Bell
event_197802_0066,Georg Wilhelm Pabst,Q55421,G.W.,Pabst
event_197802_0067,King Hu,Q667128,King,Hu
event_197802_0068,Andrzej Wajda,Q106685,Andrzej,Wajda
event_197802_0069,Mahama Johnson Traoré,Q1754045,Mahama,Johnson Traore
event_197802_0070,Mahama Johnson Traoré,Q1754045,Mahama,Johnson Traore
event_197802_0071,John Ford,Q51114,John,Ford
event_197802_0072,Mahama Johnson Traoré,Q1754045,Mahama,Johnson Traore
event_197802_0073,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0074,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0075,Anthony Asquith,Q360844,Anthony,Asquith
event_197802_0076,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0077,Mahama Johnson Traoré,Q1754045,Mahama,Johnson Traore
event_197802_0078,Ababacar Samb Makharam,Q2820127,Ababacar,Samb-Makharam
event_197802_0079,Ababacar Samb Makharam,Q2820127,Ababacar,Samb-Makharam
event_197802_0080,Mahama Johnson Traoré,Q1754045,Mahama,Johnson Traore
event_197802_0081,Djibril Diop Mambéty,Q1232197,Djibril,Diop-Mambety
event_197802_0082,William Augustus Wellman,Q290962,William,Wellman
event_197802_0083,Richard Haydn,Q1355379,Richard,Haydn
event_197802_0084,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0085,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0086,Yasujirō Ozu,Q55402,Yasujiro,Ozu
event_197802_0087,Jon Jost,Q562434,Jon,Jost
event_197802_0088,Jon Jost,Q562434,Jon,Jost
event_197802_0089,Dušan Makavejev,Q357316,Dusan,Makavejev
event_197802_0090,Kōzaburō Yoshimura,Q3131001,Kozaburo,Yoshimura
event_197802_0091,Yasujirō Ozu,Q55402,Yasujiro,Ozu
event_197802_0092,Jean-Luc Godard and Francois Truffaut,,Jean-Luc,Godard and Francois Truffaut
event_197802_0093,François Truffaut,Q53002,Francois,Truffaut
event_197802_0094,Jean-Luc Godard,Q53001,Jean-Luc,Godard
event_197802_0095,Jean-Luc Godard,Q53001,Jean-Luc,Godard
event_197802_0096,Roman Polanski,Q51552,Roman,Polanski
event_197802_0097,Franz Weisz,,Franz,Weisz
event_197802_0098,Satyajit Ray,Q8873,Satyajit,Ray
event_197802_0099,Chris Marker,Q170256,Chris,Marker
event_197802_0100,Satyajit Ray,Q8873,Satyajit,Ray
event_197802_0101,Márta Mészáros,Q257427,Márta,Mészáros
event_197802_0102,,,,
event_197802_0103,Djibril Diop Mambéty,Q1232197,Djibril,Diop-Mambety
event_197802_0104,Jon Jost,Q562434,Jon,Jost
event_197802_0105,John Ford,Q51114,John,Ford
event_197802_0106,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0107,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0108,,,,
event_197802_0109,,,,
event_197802_0110,,,,
event_197802_0111,,,,
event_197802_0112,,,,
event_197802_0113,,,,
event_197802_0114,,,,
event_197802_0115,Moussa Bathilly,,Moussa,Bathilly
event_197802_0116,Carlos Saura,Q295855,Carlos,Saura
event_197802_0117,Carlos Saura,Q295855,Carlos,Saura
event_197802_0118,Stanley Donen,Q48765,Stanley,Donen
event_197802_0119,László Kardos,Q36843222,Leslie,Kardos
event_197802_0120,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0121,Ernst Lubitsch,Q51562,Ernst,Lubitsch
event_197802_0122,Sidney Franklin,Q773066,Sidney,Franklin
event_197802_0123,Jean-Louis Comolli,Q446583,Jean-Louis,Comolli
